object:x:667, y:320, w:101, h:84, class:'Steel_ball'
object:x:855, y:474, w:113, h:116, class:'Steel_ball'
object:x:862, y:468, w:88, h:118, class:'Steel_ball'
object:x:694, y:401, w:78, h:70, class:'Steel_ball'
object:x:789, y:315, w:113, h:117, class:'Steel_ball'
object:x:730, y:376, w:100, h:116, class:'Steel_ball'
object:x:730, y:374, w:100, h:117, class:'Steel_ball'
object:x:726, y:379, w:101, h:117, class:'Steel_ball'
object:x:535, y:510, w:113, h:104, class:'Steel_ball'
object:x:540, y:510, w:89, h:104, class:'Steel_ball'
object:x:528, y:514, w:113, h:104, class:'Steel_ball'
object:x:539, y:379, w:101, h:117, class:'Steel_ball'
object:x:541, y:376, w:101, h:116, class:'Steel_ball'
object:x:574, y:369, w:89, h:117, class:'Steel_ball'
object:x:565, y:359, w:100, h:134, class:'Steel_ball'
object:x:607, y:441, w:90, h:92, class:'Steel_ball'
object:x:705, y:603, w:100, h:113, class:'Steel_ball'
object:x:695, y:556, w:113, h:134, class:'Steel_ball'
object:x:742, y:388, w:90, h:104, class:'Steel_ball'
object:x:762, y:588, w:100, h:117, class:'Steel_ball'
object:x:753, y:612, w:129, h:108, class:'Steel_ball'
object:x:721, y:582, w:129, h:116, class:'Steel_ball'
object:x:726, y:601, w:147, h:119, class:'Steel_ball'
object:x:736, y:599, w:113, h:121, class:'Steel_ball'
object:x:12, y:0, w:1058, h:592, class:'Steel_ball'
object:x:12, y:0, w:1058, h:614, class:'Steel_ball'
object:x:680, y:595, w:129, h:116, class:'Steel_ball'
object:x:680, y:597, w:129, h:116, class:'Steel_ball'
object:x:605, y:491, w:112, h:142, class:'Steel_ball'
object:x:576, y:301, w:112, h:142, class:'Steel_ball'
object:x:567, y:315, w:130, h:117, class:'Steel_ball'
object:x:596, y:371, w:143, h:116, class:'Steel_ball'
object:x:594, y:371, w:144, h:116, class:'Steel_ball'
object:x:592, y:371, w:144, h:116, class:'Steel_ball'
object:x:594, y:361, w:147, h:140, class:'Steel_ball'
object:x:592, y:371, w:144, h:116, class:'Steel_ball'
