object:x:1130, y:1, w:143, h:133, class:'Steel_ball'
object:x:1104, y:10, w:144, h:104, class:'Steel_ball'
object:x:1017, y:72, w:166, h:163, class:'Steel_ball'
object:x:950, y:70, w:168, h:160, class:'Steel_ball'
object:x:893, y:79, w:158, h:149, class:'Steel_ball'
object:x:900, y:124, w:158, h:133, class:'Steel_ball'
object:x:950, y:104, w:144, h:148, class:'Steel_ball'
object:x:969, y:104, w:130, h:148, class:'Steel_ball'
object:x:982, y:110, w:136, h:143, class:'Steel_ball'
object:x:1008, y:111, w:123, h:131, class:'Steel_ball'
object:x:1009, y:110, w:136, h:130, class:'Steel_ball'
object:x:1014, y:110, w:136, h:143, class:'Steel_ball'
object:x:1042, y:111, w:113, h:149, class:'Steel_ball'
object:x:1129, y:111, w:124, h:131, class:'Steel_ball'
object:x:1138, y:115, w:112, h:130, class:'Steel_ball'
object:x:1129, y:95, w:148, h:163, class:'Steel_ball'
object:x:1120, y:87, w:160, h:186, class:'Steel_ball'
object:x:1135, y:113, w:136, h:130, class:'Steel_ball'
object:x:1134, y:110, w:135, h:130, class:'Steel_ball'
object:x:1141, y:113, w:124, h:130, class:'Steel_ball'
object:x:1137, y:101, w:136, h:155, class:'Steel_ball'
object:x:1137, y:107, w:136, h:142, class:'Steel_ball'
object:x:1141, y:101, w:124, h:155, class:'Steel_ball'
object:x:1141, y:105, w:124, h:143, class:'Steel_ball'
object:x:1142, y:92, w:129, h:179, class:'Steel_ball'
object:x:1135, y:100, w:143, h:163, class:'Steel_ball'
object:x:1143, y:111, w:124, h:131, class:'Steel_ball'
object:x:1135, y:107, w:136, h:142, class:'Steel_ball'
object:x:1140, y:104, w:123, h:142, class:'Steel_ball'
object:x:1134, y:107, w:135, h:142, class:'Steel_ball'
object:x:1137, y:82, w:129, h:163, class:'Steel_ball'
object:x:1131, y:82, w:144, h:163, class:'Steel_ball'
object:x:1124, y:69, w:148, h:186, class:'Steel_ball'
