object:x:1112, y:485, w:144, h:179, class:'Steel_ball'
object:x:1114, y:483, w:144, h:179, class:'Steel_ball'
object:x:1119, y:483, w:144, h:179, class:'Steel_ball'
object:x:1121, y:495, w:136, h:155, class:'Steel_ball'
object:x:1131, y:477, w:123, h:181, class:'Steel_ball'
object:x:1121, y:483, w:143, h:179, class:'Steel_ball'
object:x:1121, y:480, w:143, h:179, class:'Steel_ball'
object:x:1125, y:485, w:135, h:168, class:'Steel_ball'
object:x:1126, y:476, w:130, h:179, class:'Steel_ball'
object:x:1117, y:483, w:144, h:179, class:'Steel_ball'
object:x:1120, y:484, w:135, h:168, class:'Steel_ball'
object:x:1116, y:482, w:143, h:179, class:'Steel_ball'
object:x:1116, y:482, w:143, h:164, class:'Steel_ball'
object:x:1112, y:480, w:158, h:179, class:'Steel_ball'
object:x:1120, y:480, w:135, h:168, class:'Steel_ball'
object:x:1112, y:474, w:144, h:179, class:'Steel_ball'
object:x:1120, y:484, w:135, h:168, class:'Steel_ball'
object:x:1120, y:485, w:135, h:155, class:'Steel_ball'
object:x:1123, y:480, w:129, h:179, class:'Steel_ball'
object:x:1108, y:480, w:159, h:179, class:'Steel_ball'
object:x:1108, y:482, w:159, h:179, class:'Steel_ball'
object:x:1116, y:482, w:136, h:182, class:'Steel_ball'
object:x:1116, y:482, w:143, h:179, class:'Steel_ball'
object:x:1108, y:483, w:159, h:179, class:'Steel_ball'
object:x:1112, y:471, w:144, h:179, class:'Steel_ball'
object:x:1111, y:484, w:144, h:163, class:'Steel_ball'
object:x:1117, y:480, w:144, h:179, class:'Steel_ball'
object:x:1058, y:527, w:148, h:155, class:'Steel_ball'
object:x:1050, y:526, w:161, h:154, class:'Steel_ball'
object:x:1051, y:524, w:159, h:180, class:'Steel_ball'
object:x:1053, y:515, w:158, h:179, class:'Steel_ball'
object:x:1053, y:512, w:158, h:179, class:'Steel_ball'
object:x:1050, y:512, w:161, h:182, class:'Steel_ball'
object:x:1058, y:502, w:144, h:195, class:'Steel_ball'
object:x:1046, y:516, w:161, h:168, class:'Steel_ball'
object:x:1043, y:504, w:168, h:181, class:'Steel_ball'
object:x:1050, y:504, w:147, h:181, class:'Steel_ball'
object:x:1031, y:527, w:169, h:160, class:'Steel_ball'
object:x:1025, y:523, w:168, h:159, class:'Steel_ball'
object:x:1035, y:498, w:144, h:196, class:'Steel_ball'
object:x:1021, y:498, w:166, h:207, class:'Steel_ball'
object:x:1039, y:508, w:143, h:179, class:'Steel_ball'
object:x:1112, y:516, w:160, h:163, class:'Steel_ball'
object:x:1092, y:494, w:188, h:207, class:'Steel_ball'
object:x:1106, y:503, w:166, h:186, class:'Steel_ball'
object:x:1099, y:506, w:174, h:179, class:'Steel_ball'
object:x:1108, y:507, w:159, h:181, class:'Steel_ball'
object:x:1111, y:502, w:159, h:206, class:'Steel_ball'
object:x:1110, y:518, w:168, h:182, class:'Steel_ball'
object:x:1108, y:521, w:159, h:181, class:'Steel_ball'
object:x:1081, y:493, w:159, h:213, class:'Steel_ball'
object:x:1070, y:503, w:191, h:207, class:'Steel_ball'
object:x:1085, y:504, w:158, h:195, class:'Steel_ball'
object:x:1079, y:500, w:173, h:195, class:'Steel_ball'
object:x:1092, y:512, w:148, h:168, class:'Steel_ball'
object:x:1092, y:490, w:144, h:212, class:'Steel_ball'
object:x:1083, y:494, w:166, h:207, class:'Steel_ball'
object:x:1085, y:516, w:161, h:168, class:'Steel_ball'
object:x:1086, y:493, w:166, h:206, class:'Steel_ball'
object:x:1096, y:498, w:183, h:207, class:'Steel_ball'
object:x:1115, y:498, w:159, h:207, class:'Steel_ball'
object:x:1123, y:500, w:157, h:211, class:'Steel_ball'
object:x:1107, y:496, w:168, h:204, class:'Steel_ball'
object:x:1115, y:518, w:159, h:181, class:'Steel_ball'
object:x:1081, y:490, w:174, h:212, class:'Steel_ball'
object:x:1089, y:499, w:168, h:204, class:'Steel_ball'
object:x:1089, y:498, w:158, h:196, class:'Steel_ball'
object:x:1085, y:495, w:158, h:213, class:'Steel_ball'
object:x:1083, y:508, w:158, h:179, class:'Steel_ball'
object:x:1083, y:500, w:158, h:195, class:'Steel_ball'
object:x:1069, y:500, w:190, h:206, class:'Steel_ball'
object:x:1085, y:495, w:158, h:195, class:'Steel_ball'
object:x:1088, y:509, w:148, h:181, class:'Steel_ball'
object:x:1096, y:512, w:144, h:179, class:'Steel_ball'
object:x:1080, y:504, w:158, h:195, class:'Steel_ball'
object:x:1094, y:498, w:143, h:196, class:'Steel_ball'
object:x:1086, y:508, w:159, h:179, class:'Steel_ball'
object:x:1089, y:497, w:158, h:195, class:'Steel_ball'
object:x:1078, y:494, w:166, h:207, class:'Steel_ball'
object:x:1089, y:510, w:158, h:179, class:'Steel_ball'
object:x:1094, y:498, w:143, h:196, class:'Steel_ball'
object:x:1096, y:508, w:144, h:179, class:'Steel_ball'
object:x:1081, y:493, w:159, h:213, class:'Steel_ball'
object:x:1077, y:504, w:174, h:195, class:'Steel_ball'
object:x:1081, y:502, w:183, h:206, class:'Steel_ball'
object:x:1079, y:500, w:173, h:195, class:'Steel_ball'
object:x:1096, y:500, w:144, h:195, class:'Steel_ball'
object:x:1077, y:500, w:174, h:195, class:'Steel_ball'
object:x:1090, y:503, w:148, h:182, class:'Steel_ball'
object:x:1079, y:510, w:173, h:179, class:'Steel_ball'
object:x:1086, y:508, w:159, h:179, class:'Steel_ball'
object:x:1086, y:508, w:159, h:179, class:'Steel_ball'
object:x:1085, y:500, w:161, h:182, class:'Steel_ball'
object:x:1079, y:502, w:173, h:195, class:'Steel_ball'
object:x:1073, y:505, w:175, h:182, class:'Steel_ball'
object:x:1085, y:500, w:158, h:195, class:'Steel_ball'
object:x:1087, y:502, w:161, h:181, class:'Steel_ball'
object:x:1079, y:490, w:173, h:212, class:'Steel_ball'
object:x:1083, y:499, w:161, h:181, class:'Steel_ball'
object:x:1089, y:503, w:161, h:182, class:'Steel_ball'
object:x:1083, y:491, w:173, h:213, class:'Steel_ball'
object:x:1086, y:503, w:159, h:179, class:'Steel_ball'
object:x:1092, y:500, w:144, h:179, class:'Steel_ball'
object:x:1086, y:498, w:159, h:196, class:'Steel_ball'
object:x:1081, y:496, w:166, h:207, class:'Steel_ball'
object:x:1086, y:505, w:159, h:179, class:'Steel_ball'
object:x:1083, y:510, w:158, h:179, class:'Steel_ball'
object:x:1076, y:510, w:175, h:168, class:'Steel_ball'
object:x:1081, y:498, w:159, h:213, class:'Steel_ball'
object:x:1092, y:523, w:148, h:196, class:'Steel_ball'
object:x:47, y:13, w:1059, h:707, class:'Steel_ball'
