object:x:31, y:6, w:148, h:119, class:'Steel_ball'
object:x:31, y:0, w:144, h:140, class:'Steel_ball'
object:x:18, y:14, w:130, h:133, class:'Steel_ball'
object:x:28, y:8, w:113, h:148, class:'Steel_ball'
object:x:16, y:19, w:144, h:116, class:'Steel_ball'
object:x:22, y:8, w:129, h:148, class:'Steel_ball'
object:x:15, y:14, w:143, h:133, class:'Steel_ball'
object:x:22, y:15, w:129, h:134, class:'Steel_ball'
object:x:17, y:19, w:136, h:97, class:'Steel_ball'
object:x:15, y:11, w:143, h:116, class:'Steel_ball'
object:x:29, y:0, w:144, h:142, class:'Steel_ball'
object:x:4, y:1, w:158, h:116, class:'Steel_ball'
object:x:0, y:8, w:157, h:116, class:'Steel_ball'
object:x:10, y:0, w:143, h:129, class:'Steel_ball'
object:x:10, y:4, w:143, h:117, class:'Steel_ball'
object:x:2, y:9, w:159, h:117, class:'Steel_ball'
object:x:6, y:6, w:158, h:116, class:'Steel_ball'
object:x:10, y:6, w:143, h:116, class:'Steel_ball'
object:x:11, y:8, w:144, h:116, class:'Steel_ball'
object:x:11, y:8, w:144, h:116, class:'Steel_ball'
object:x:7, y:17, w:148, h:97, class:'Steel_ball'
object:x:0, y:8, w:173, h:116, class:'Steel_ball'
object:x:7, y:9, w:159, h:117, class:'Steel_ball'
object:x:0, y:8, w:157, h:116, class:'Steel_ball'
object:x:20, y:9, w:130, h:133, class:'Steel_ball'
object:x:10, y:8, w:143, h:116, class:'Steel_ball'
object:x:9, y:17, w:158, h:117, class:'Steel_ball'
object:x:6, y:6, w:143, h:116, class:'Steel_ball'
object:x:26, y:18, w:148, h:119, class:'Steel_ball'
object:x:11, y:1, w:148, h:119, class:'Steel_ball'
object:x:6, y:0, w:143, h:133, class:'Steel_ball'
object:x:18, y:1, w:130, h:133, class:'Steel_ball'
object:x:1, y:9, w:158, h:117, class:'Steel_ball'
object:x:19, y:10, w:135, h:108, class:'Steel_ball'
object:x:1, y:4, w:158, h:117, class:'Steel_ball'
object:x:29, y:0, w:144, h:133, class:'Steel_ball'
object:x:10, y:6, w:143, h:116, class:'Steel_ball'
object:x:11, y:0, w:144, h:131, class:'Steel_ball'
object:x:8, y:1, w:144, h:116, class:'Steel_ball'
object:x:10, y:4, w:143, h:117, class:'Steel_ball'
object:x:8, y:8, w:144, h:116, class:'Steel_ball'
object:x:8, y:0, w:144, h:131, class:'Steel_ball'
object:x:10, y:4, w:143, h:117, class:'Steel_ball'
object:x:10, y:0, w:143, h:131, class:'Steel_ball'
object:x:10, y:6, w:143, h:116, class:'Steel_ball'
object:x:13, y:0, w:144, h:133, class:'Steel_ball'
object:x:21, y:10, w:148, h:131, class:'Steel_ball'
object:x:13, y:17, w:144, h:117, class:'Steel_ball'
object:x:13, y:17, w:144, h:117, class:'Steel_ball'
object:x:10, y:0, w:143, h:131, class:'Steel_ball'
object:x:9, y:16, w:158, h:116, class:'Steel_ball'
object:x:26, y:23, w:148, h:108, class:'Steel_ball'
object:x:2, y:8, w:159, h:116, class:'Steel_ball'
object:x:0, y:6, w:170, h:116, class:'Steel_ball'
object:x:6, y:0, w:143, h:133, class:'Steel_ball'
object:x:8, y:1, w:144, h:133, class:'Steel_ball'
object:x:10, y:6, w:143, h:116, class:'Steel_ball'
object:x:0, y:0, w:157, h:133, class:'Steel_ball'
object:x:4, y:0, w:144, h:131, class:'Steel_ball'
object:x:10, y:0, w:143, h:131, class:'Steel_ball'
object:x:8, y:0, w:144, h:131, class:'Steel_ball'
object:x:18, y:6, w:130, h:116, class:'Steel_ball'
object:x:8, y:0, w:144, h:129, class:'Steel_ball'
object:x:8, y:4, w:144, h:117, class:'Steel_ball'
object:x:10, y:0, w:143, h:133, class:'Steel_ball'
object:x:8, y:0, w:144, h:137, class:'Steel_ball'
object:x:8, y:0, w:144, h:131, class:'Steel_ball'
object:x:13, y:0, w:129, h:133, class:'Steel_ball'
object:x:8, y:0, w:144, h:131, class:'Steel_ball'
object:x:10, y:0, w:143, h:129, class:'Steel_ball'
object:x:13, y:4, w:144, h:117, class:'Steel_ball'
object:x:17, y:0, w:129, h:131, class:'Steel_ball'
object:x:14, y:3, w:135, h:119, class:'Steel_ball'
object:x:10, y:0, w:143, h:131, class:'Steel_ball'
object:x:8, y:6, w:144, h:116, class:'Steel_ball'
object:x:18, y:6, w:130, h:116, class:'Steel_ball'
object:x:15, y:3, w:136, h:119, class:'Steel_ball'
object:x:13, y:4, w:144, h:117, class:'Steel_ball'
object:x:13, y:12, w:144, h:104, class:'Steel_ball'
object:x:13, y:0, w:144, h:128, class:'Steel_ball'
object:x:6, y:6, w:158, h:116, class:'Steel_ball'
object:x:15, y:10, w:136, h:108, class:'Steel_ball'
object:x:13, y:0, w:144, h:131, class:'Steel_ball'
object:x:31, y:10, w:148, h:131, class:'Steel_ball'
object:x:31, y:6, w:144, h:149, class:'Steel_ball'
object:x:20, y:16, w:143, h:116, class:'Steel_ball'
object:x:13, y:6, w:144, h:116, class:'Steel_ball'
