object:x:43, y:536, w:130, h:148, class:'Steel_ball'
object:x:36, y:537, w:148, h:142, class:'Steel_ball'
object:x:98, y:522, w:144, h:148, class:'Steel_ball'
object:x:57, y:533, w:123, h:119, class:'Steel_ball'
object:x:48, y:529, w:123, h:130, class:'Steel_ball'
object:x:32, y:518, w:168, h:139, class:'Steel_ball'
object:x:33, y:531, w:143, h:133, class:'Steel_ball'
object:x:33, y:518, w:147, h:160, class:'Steel_ball'
object:x:31, y:514, w:168, h:160, class:'Steel_ball'
object:x:38, y:535, w:143, h:133, class:'Steel_ball'
object:x:36, y:531, w:144, h:133, class:'Steel_ball'
object:x:33, y:535, w:143, h:133, class:'Steel_ball'
object:x:40, y:523, w:129, h:149, class:'Steel_ball'
object:x:28, y:523, w:143, h:149, class:'Steel_ball'
object:x:26, y:539, w:147, h:140, class:'Steel_ball'
object:x:34, y:533, w:144, h:134, class:'Steel_ball'
object:x:33, y:527, w:143, h:149, class:'Steel_ball'
object:x:22, y:534, w:168, h:160, class:'Steel_ball'
object:x:33, y:532, w:143, h:149, class:'Steel_ball'
object:x:22, y:547, w:147, h:139, class:'Steel_ball'
object:x:22, y:547, w:147, h:139, class:'Steel_ball'
object:x:13, y:558, w:144, h:117, class:'Steel_ball'
object:x:22, y:553, w:147, h:140, class:'Steel_ball'
object:x:12, y:555, w:159, h:157, class:'Steel_ball'
object:x:11, y:563, w:144, h:116, class:'Steel_ball'
object:x:38, y:549, w:130, h:148, class:'Steel_ball'
object:x:11, y:563, w:144, h:116, class:'Steel_ball'
object:x:11, y:560, w:144, h:116, class:'Steel_ball'
object:x:12, y:553, w:168, h:140, class:'Steel_ball'
object:x:22, y:553, w:147, h:140, class:'Steel_ball'
object:x:36, y:555, w:127, h:139, class:'Steel_ball'
object:x:4, y:563, w:158, h:133, class:'Steel_ball'
object:x:18, y:537, w:147, h:160, class:'Steel_ball'
object:x:19, y:547, w:168, h:140, class:'Steel_ball'
object:x:26, y:540, w:147, h:159, class:'Steel_ball'
object:x:29, y:550, w:147, h:139, class:'Steel_ball'
object:x:30, y:568, w:159, h:116, class:'Steel_ball'
object:x:36, y:549, w:144, h:148, class:'Steel_ball'
object:x:40, y:549, w:129, h:148, class:'Steel_ball'
object:x:40, y:549, w:129, h:148, class:'Steel_ball'
object:x:21, y:558, w:144, h:133, class:'Steel_ball'
object:x:19, y:567, w:135, h:119, class:'Steel_ball'
object:x:38, y:559, w:130, h:134, class:'Steel_ball'
object:x:26, y:544, w:147, h:140, class:'Steel_ball'
object:x:18, y:537, w:147, h:160, class:'Steel_ball'
object:x:11, y:560, w:147, h:140, class:'Steel_ball'
object:x:2, y:555, w:159, h:157, class:'Steel_ball'
object:x:12, y:567, w:136, h:119, class:'Steel_ball'
object:x:20, y:568, w:130, h:116, class:'Steel_ball'
object:x:20, y:558, w:123, h:143, class:'Steel_ball'
object:x:17, y:561, w:129, h:134, class:'Steel_ball'
object:x:9, y:560, w:127, h:140, class:'Steel_ball'
object:x:7, y:545, w:169, h:159, class:'Steel_ball'
object:x:2, y:555, w:144, h:149, class:'Steel_ball'
object:x:0, y:567, w:165, h:140, class:'Steel_ball'
object:x:8, y:558, w:129, h:133, class:'Steel_ball'
object:x:2, y:558, w:144, h:148, class:'Steel_ball'
object:x:13, y:559, w:129, h:134, class:'Steel_ball'
object:x:2, y:544, w:159, h:156, class:'Steel_ball'
object:x:18, y:563, w:130, h:133, class:'Steel_ball'
object:x:18, y:568, w:130, h:116, class:'Steel_ball'
object:x:16, y:570, w:144, h:116, class:'Steel_ball'
object:x:33, y:563, w:147, h:140, class:'Steel_ball'
object:x:38, y:556, w:130, h:134, class:'Steel_ball'
object:x:22, y:567, w:136, h:119, class:'Steel_ball'
object:x:17, y:572, w:149, h:108, class:'Steel_ball'
object:x:24, y:561, w:158, h:134, class:'Steel_ball'
object:x:22, y:559, w:129, h:134, class:'Steel_ball'
object:x:19, y:572, w:135, h:108, class:'Steel_ball'
object:x:29, y:558, w:144, h:133, class:'Steel_ball'
object:x:39, y:563, w:128, h:140, class:'Steel_ball'
object:x:28, y:550, w:143, h:149, class:'Steel_ball'
object:x:24, y:554, w:144, h:148, class:'Steel_ball'
object:x:18, y:570, w:144, h:116, class:'Steel_ball'
object:x:12, y:565, w:148, h:119, class:'Steel_ball'
object:x:20, y:565, w:136, h:119, class:'Steel_ball'
object:x:11, y:559, w:144, h:134, class:'Steel_ball'
object:x:28, y:560, w:127, h:140, class:'Steel_ball'
object:x:33, y:550, w:147, h:139, class:'Steel_ball'
object:x:22, y:569, w:136, h:118, class:'Steel_ball'
object:x:38, y:564, w:136, h:118, class:'Steel_ball'
object:x:43, y:550, w:130, h:149, class:'Steel_ball'
object:x:40, y:558, w:144, h:133, class:'Steel_ball'
object:x:36, y:565, w:144, h:116, class:'Steel_ball'
object:x:38, y:558, w:143, h:133, class:'Steel_ball'
object:x:38, y:559, w:143, h:134, class:'Steel_ball'
object:x:34, y:568, w:144, h:116, class:'Steel_ball'
object:x:43, y:549, w:130, h:148, class:'Steel_ball'
object:x:44, y:565, w:136, h:119, class:'Steel_ball'
object:x:54, y:570, w:136, h:119, class:'Steel_ball'
object:x:45, y:561, w:144, h:134, class:'Steel_ball'
object:x:57, y:572, w:123, h:119, class:'Steel_ball'
object:x:49, y:574, w:136, h:108, class:'Steel_ball'
