sample,x,y,confidence,real_cm
1,420.769257,296.730774,0.94085932,-6.000000
2,422.692322,290.576935,0.94037056,-6.000000
3,421.153870,295.192322,0.94623566,-6.000000
4,420.769257,295.576935,0.94330311,-6.000000
5,421.153870,295.769257,0.94770193,-6.000000
6,421.153870,295.769257,0.94574690,-6.000000
7,422.307709,295.192322,0.94819069,-6.000000
8,421.923096,293.461548,0.94916821,-6.000000
9,422.692322,295.576935,0.95161200,-6.000000
10,422.692322,296.153870,0.95014572,-6.000000
11,423.076935,295.769257,0.94672441,-6.000000
12,422.692322,295.000000,0.94721317,-6.000000
13,421.923096,295.384613,0.95112324,-6.000000
14,422.307709,296.346161,0.94721317,-6.000000
15,422.307709,296.153870,0.94819069,-6.000000
16,422.692322,296.346161,0.94819069,-6.000000
17,422.692322,296.346161,0.95112324,-6.000000
18,422.307709,296.538483,0.94525814,-6.000000
19,422.307709,296.153870,0.94916821,-6.000000
20,422.692322,295.769257,0.94819069,-6.000000
21,422.307709,295.000000,0.94721317,-6.000000
22,422.692322,294.230774,0.94574690,-6.000000
23,422.307709,294.423096,0.95356703,-6.000000
24,422.307709,294.615387,0.94819069,-6.000000
25,421.923096,294.615387,0.95210075,-6.000000
26,421.538483,293.846161,0.94819069,-6.000000
27,421.153870,294.230774,0.94819069,-6.000000
28,421.538483,294.807709,0.95014572,-6.000000
29,421.538483,293.653870,0.94525814,-6.000000
30,421.153870,293.653870,0.93841553,-6.000000
31,421.538483,293.653870,0.94574690,-6.000000
32,421.153870,294.423096,0.94721317,-6.000000
33,420.769257,294.423096,0.94721317,-6.000000
34,421.153870,293.461548,0.93059540,-6.000000
35,420.769257,293.653870,0.92864037,-6.000000
36,421.153870,292.115387,0.93303919,-6.000000
37,421.153870,291.538483,0.93255043,-6.000000
38,421.153870,291.153870,0.94183683,-6.000000
39,421.923096,291.153870,0.94085932,-6.000000
40,421.153870,290.192322,0.93743801,-6.000000
41,421.538483,290.192322,0.93694925,-6.000000
42,421.923096,291.538483,0.93743801,-6.000000
43,421.538483,291.153870,0.93743801,-6.000000
44,421.923096,291.346161,0.93743801,-6.000000
45,421.538483,290.769257,0.94085932,-6.000000
46,421.923096,290.961548,0.94085932,-6.000000
47,421.538483,290.576935,0.93206167,-6.000000
48,421.538483,289.807709,0.94428062,-6.000000
49,421.153870,288.076935,0.93646049,-6.000000
50,421.923096,287.692322,0.93743801,-6.000000
51,421.538483,288.076935,0.94281435,-6.000000
52,421.153870,288.076935,0.93352795,-6.000000
53,420.769257,287.115387,0.93157291,-6.000000
54,421.538483,286.923096,0.94037056,-6.000000
55,421.538483,286.923096,0.94085932,-6.000000
56,421.538483,286.923096,0.93988180,-6.000000
57,420.769257,287.500000,0.93157291,-6.000000
58,421.153870,287.692322,0.93450546,-6.000000
59,420.769257,286.730774,0.93303919,-6.000000
60,420.769257,285.769226,0.93303919,-6.000000
61,420.000031,285.192322,0.93548298,-6.000000
62,420.000031,285.961548,0.92961788,-6.000000
63,419.615387,285.576935,0.92815161,-6.000000
64,420.384644,285.769226,0.93450546,-6.000000
65,420.000031,285.961548,0.92277527,-6.000000
66,420.384644,285.961548,0.92766285,-6.000000
67,419.615387,286.346161,0.91348886,-6.000000
68,420.000031,286.538483,0.93303919,-6.000000
69,419.615387,286.153870,0.90860128,-6.000000
70,420.000031,286.538483,0.92033148,-6.000000
71,418.461548,285.961548,0.90214920,-6.000000
72,419.615387,285.000000,0.91397762,-6.000000
73,420.000031,283.846161,0.91788769,-6.000000
74,419.615387,284.038483,0.90322495,-6.000000
75,420.000031,284.038483,0.93792677,-6.000000
76,419.615387,284.423096,0.92326403,-6.000000
77,419.230774,284.423096,0.88758469,-6.000000
78,419.230774,284.615387,0.89149475,-6.000000
79,419.230774,284.423096,0.88367462,-6.000000
80,418.461548,283.269226,0.90214920,-6.000000
81,418.461548,285.961548,0.90214920,-6.000000
82,418.461548,283.269226,0.90214920,-6.000000
83,418.461548,283.269226,0.90214920,-6.000000
84,418.461548,283.269226,0.90214920,-6.000000
85,418.461548,283.269226,0.90214920,-6.000000
86,418.461548,283.269226,0.90214920,-6.000000
87,418.461548,282.692322,0.90371370,-6.000000
88,418.461548,283.269226,0.90214920,-6.000000
89,418.076935,281.538483,0.91593266,-6.000000
90,418.461548,280.192322,0.92130899,-6.000000
91,418.461548,280.192322,0.92130899,-6.000000
92,418.846161,279.615387,0.93157291,-6.000000
93,418.846161,280.000000,0.92521906,-6.000000
94,418.846161,280.384613,0.91984272,-6.000000
95,418.846161,280.961548,0.91300011,-6.000000
96,418.846161,280.769226,0.92717409,-6.000000
97,418.461548,280.384613,0.90214920,-6.000000
98,419.230774,282.115387,0.88367462,-6.000000
99,420.384644,283.269226,0.90214920,-6.000000
100,419.615387,283.076935,0.90029240,-6.000000
