sample,x,y,confidence,real_cm
1,491.153870,337.692322,0.95210075,-8.000000
2,490.000031,337.115387,0.95503330,-8.000000
3,491.153870,337.500000,0.94379187,-8.000000
4,490.769257,337.884613,0.95014572,-8.000000
5,489.615417,338.653870,0.96232510,-8.000000
6,489.615417,339.038483,0.95694351,-8.000000
7,489.615417,338.269257,0.95694351,-8.000000
8,489.615417,338.846161,0.95351887,-8.000000
9,488.846161,339.038483,0.94324493,-8.000000
10,488.076935,339.038483,0.93548298,-8.000000
11,488.076935,338.653870,0.94037056,-8.000000
12,488.461548,339.038483,0.93786335,-8.000000
13,487.307709,337.500000,0.90664625,-8.000000
14,487.692322,338.269257,0.92766285,-8.000000
15,487.692322,339.038483,0.91495514,-8.000000
16,487.307709,338.846161,0.91006756,-8.000000
17,487.692322,338.076935,0.91251135,-8.000000
18,486.923096,338.076935,0.90713501,-8.000000
19,486.923096,337.884613,0.90713501,-8.000000
20,486.538483,337.692322,0.90517998,-8.000000
21,486.153870,337.500000,0.89442730,-8.000000
22,486.538483,337.500000,0.88953972,-8.000000
23,486.538483,337.307709,0.89344978,-8.000000
24,486.923096,337.307709,0.90224743,-8.000000
25,486.923096,336.923096,0.90664625,-8.000000
26,486.923096,336.730774,0.90371370,-8.000000
27,486.923096,336.538483,0.90566874,-8.000000
28,486.153870,337.500000,0.89149475,-8.000000
29,486.538483,337.307709,0.90420246,-8.000000
30,485.769257,337.307709,0.88465214,-8.000000
31,485.769257,337.307709,0.89344978,-8.000000
32,485.384644,337.115387,0.90126991,-8.000000
33,486.923096,336.730774,0.90664625,-8.000000
34,486.923096,337.307709,0.91153383,-8.000000
35,487.307709,337.500000,0.90762377,-8.000000
36,487.692322,336.923096,0.92269707,-8.000000
37,486.923096,337.307709,0.90175867,-8.000000
38,486.538483,337.115387,0.89833736,-8.000000
39,486.153870,337.692322,0.89931488,-8.000000
40,486.538483,337.307709,0.90175867,-8.000000
41,485.769257,337.307709,0.90078115,-8.000000
42,486.153870,337.307709,0.89344978,-8.000000
43,486.153870,336.923096,0.89687109,-8.000000
44,486.538483,337.115387,0.89344978,-8.000000
45,486.923096,336.923096,0.91006756,-8.000000
46,487.307709,337.307709,0.91495514,-8.000000
47,487.307709,337.307709,0.90713501,-8.000000
48,487.692322,336.923096,0.92179775,-8.000000
49,485.384644,338.269257,0.90126991,-8.000000
50,486.538483,337.500000,0.90126991,-8.000000
51,486.923096,336.923096,0.90957880,-8.000000
52,486.923096,337.115387,0.91397762,-8.000000
53,486.538483,337.692322,0.90811253,-8.000000
54,486.153870,337.500000,0.90322495,-8.000000
55,486.923096,336.923096,0.90126991,-8.000000
56,487.307709,337.307709,0.91642141,-8.000000
57,486.923096,337.692322,0.90811253,-8.000000
58,486.923096,337.692322,0.91202259,-8.000000
59,486.923096,337.500000,0.91446638,-8.000000
60,486.923096,337.307709,0.90762377,-8.000000
61,487.307709,337.115387,0.91495514,-8.000000
62,486.538483,337.307709,0.89931488,-8.000000
63,486.923096,337.307709,0.90909004,-8.000000
64,486.923096,338.076935,0.90713501,-8.000000
65,486.923096,338.076935,0.90909004,-8.000000
66,486.923096,337.115387,0.90811253,-8.000000
67,486.923096,336.923096,0.90420246,-8.000000
68,486.538483,337.307709,0.90126991,-8.000000
69,486.923096,338.076935,0.91397762,-8.000000
70,486.923096,338.076935,0.90713501,-8.000000
71,486.923096,338.076935,0.90126991,-8.000000
72,486.923096,337.500000,0.90273619,-8.000000
73,486.538483,337.500000,0.89638233,-8.000000
74,485.384644,338.269257,0.90126991,-8.000000
75,486.538483,337.692322,0.90615749,-8.000000
76,487.307709,337.692322,0.91642141,-8.000000
77,486.538483,338.076935,0.90909004,-8.000000
78,486.923096,337.692322,0.91153383,-8.000000
79,486.538483,337.307709,0.88856220,-8.000000
80,486.923096,337.115387,0.90420246,-8.000000
81,486.538483,337.500000,0.90175867,-8.000000
82,486.923096,337.307709,0.90566874,-8.000000
83,486.538483,337.500000,0.90469122,-8.000000
84,486.153870,337.115387,0.90029240,-8.000000
85,486.538483,337.115387,0.89344978,-8.000000
86,485.384644,337.115387,0.90126991,-8.000000
87,486.923096,337.115387,0.90273619,-8.000000
88,486.538483,337.307709,0.90420246,-8.000000
89,486.538483,337.884613,0.89638233,-8.000000
90,486.538483,337.500000,0.89442730,-8.000000
91,486.538483,337.307709,0.90566874,-8.000000
92,486.538483,337.500000,0.90273619,-8.000000
93,486.923096,337.500000,0.91251135,-8.000000
94,486.538483,337.884613,0.89833736,-8.000000
95,486.538483,337.884613,0.90273619,-8.000000
96,486.538483,338.076935,0.90762377,-8.000000
97,486.153870,337.307709,0.90322495,-8.000000
98,485.384644,337.500000,0.89735985,-8.000000
99,486.153870,337.307709,0.88269711,-8.000000
100,485.769257,337.115387,0.89149475,-8.000000
